10,1,3,,5,6,7,8,9,10
NPS,DN(Ref),OD,Wall Thk,Mass,XS,Schedule,water,total ,unit
[Note (1)],Note 2,mm,mm,kg/m,or XXS,No,kg/m,kg/m,kg/m
12,300,323.8,12.7,97.44,XS,,69.89,167.33,kg/m
12,300,323.8,14.27,108.93,,60,68.43,177.36,kg/m
12,300,323.8,15.88,120.59,,,66.95,187.54,kg/m
12,300,323.8,17.48,132.05,,80,65.49,197.54,kg/m
12,300,323.8,19.05,143.17,,,64.07,207.24,kg/m
12,300,323.8,20.62,154.17,,,62.67,216.84,kg/m
12,300,323.8,21.44,159.87,,100,61.94,221.81,kg/m
12,300,323.8,22.23,165.33,,,61.25,226.58,kg/m
12,300,323.8,23.83,176.29,,,59.85,236.14,kg/m
12,300,323.8,25.4,186.92,XXS,120,58.5,245.42,kg/m
12,300,323.8,26.97,197.43,,,57.16,254.59,kg/m
12,300,323.8,28.58,208.08,,140,55.81,263.89,kg/m
12,300,323.8,31.75,228.68,,,53.18,281.86,kg/m
12,300,323.8,33.32,238.69,,160,51.91,290.6,kg/m
14,350,355.6,3.96,34.34,,5,94.89,129.23,kg/m
14,350,355.6,4.78,41.36,,,93.99,135.35,kg/m
14,350,355.6,5.16,44.59,,,93.58,138.17,kg/m
14,350,355.6,5.33,46.04,,,93.4,139.44,kg/m
14,350,355.6,5.56,48,,,93.15,141.15,kg/m
14,350,355.6,6.35,54.69,,10,92.3,146.99,kg/m
14,350,355.6,7.14,61.36,,,91.45,152.81,kg/m
14,350,355.6,7.92,67.91,,20,90.61,158.52,kg/m
14,350,355.6,8.74,74.76,,,89.74,164.5,kg/m
14,350,355.6,9.53,81.33,STD,30,88.9,170.23,kg/m
14,350,355.6,10.31,87.79,,,88.08,175.87,kg/m
14,350,355.6,11.13,94.55,,40,87.22,181.77,kg/m
14,350,355.6,11.91,100.95,,,86.41,187.36,kg/m
14,350,355.6,12.7,107.4,XS,,85.59,192.99,kg/m
14,350,355.6,14.27,120.12,,,83.97,204.09,kg/m
14,350,355.6,15.09,126.72,,60,83.13,209.85,kg/m
14,350,355.6,15.88,133.04,,,82.32,215.36,kg/m
14,350,355.6,17.48,145.76,,,80.7,226.46,kg/m
14,350,355.6,19.05,158.11,,80,79.13,237.24,kg/m
14,350,355.6,20.62,170.34,,,77.57,247.91,kg/m
14,350,355.6,22.23,182.76,,,75.99,258.75,kg/m
14,350,355.6,23.83,194.98,,100,74.43,269.41,kg/m
14,350,355.6,25.4,206.84,,,72.92,279.76,kg/m
14,350,355.6,26.97,218.58,,,71.43,290.01,kg/m
14,350,355.6,27.79,224.66,,120,70.65,295.31,kg/m
14,350,355.6,28.58,230.49,,,69.91,300.4,kg/m
14,350,355.6,31.75,253.58,,140,66.97,320.55,kg/m
14,350,355.6,35.71,281.72,,160,63.39,345.11,kg/m
14,350,355.6,50.8,381.85,,,50.64,432.49,kg/m
14,350,355.6,53.98,401.52,,,48.14,449.66,kg/m
14,350,355.6,55.88,413.04,,,46.67,459.71,kg/m
14,350,355.6,63.5,457.43,,,41.02,498.45,kg/m
16,400,406.4,4.19,41.56,,5,124.35,165.91,kg/m
16,400,406.4,4.78,47.34,,,123.62,170.96,kg/m
16,400,406.4,5.16,51.06,,,123.15,174.21,kg/m
16,400,406.4,5.56,54.96,,,122.65,177.61,kg/m
16,400,406.4,6.35,62.65,,10,121.67,184.32,kg/m
16,400,406.4,7.14,70.3,,,120.7,191,kg/m
16,400,406.4,7.92,77.83,,20,119.74,197.57,kg/m
16,400,406.4,8.74,85.71,,,118.73,204.44,kg/m
16,400,406.4,9.53,93.27,STD,30,117.77,211.04,kg/m
16,400,406.4,10.31,100.71,,,116.82,217.53,kg/m
16,400,406.4,11.13,108.49,,,115.83,224.32,kg/m
16,400,406.4,11.91,115.87,,,114.89,230.76,kg/m
16,400,406.4,12.7,123.31,XS,40,113.95,237.26,kg/m
16,400,406.4,14.27,138,,,112.08,250.08,kg/m
16,400,406.4,15.88,152.94,,,110.17,263.11,kg/m
16,400,406.4,16.66,160.13,,60,109.26,269.39,kg/m
16,400,406.4,17.48,167.66,,,108.3,275.96,kg/m
16,400,406.4,19.05,181.98,,,106.48,288.46,kg/m
16,400,406.4,20.62,196.18,,,104.67,300.85,kg/m
16,400,406.4,21.44,203.54,,80,103.73,307.27,kg/m
16,400,406.4,22.23,210.61,,,102.83,313.44,kg/m
16,400,406.4,23.83,224.83,,,101.02,325.85,kg/m
16,400,406.4,25.4,238.66,,,99.26,337.92,kg/m
16,400,406.4,26.19,245.57,,100,98.38,343.95,kg/m
16,400,406.4,26.97,252.37,,,97.51,349.88,kg/m
16,400,406.4,28.58,266.3,,,95.74,362.04,kg/m
16,400,406.4,30.18,280.01,,,93.99,374,kg/m
16,400,406.4,30.96,286.66,,120,93.15,379.81,kg/m
16,400,406.4,31.75,293.35,,,92.3,385.65,kg/m
16,400,406.4,36.53,333.21,,140,87.22,420.43,kg/m
16,400,406.4,40.49,365.38,,160,83.13,448.51,kg/m
18,450,457,4.19,46.79,,5,157.98,204.77,kg/m
18,450,457,4.78,53.31,,,157.15,210.46,kg/m
18,450,457,5.56,61.9,,,156.06,217.96,kg/m
18,450,457,6.35,70.57,,10,154.96,225.53,kg/m
18,450,457,7.14,79.21,,,153.86,233.07,kg/m
18,450,457,7.92,87.71,,20,152.77,240.48,kg/m
18,450,457,8.74,96.62,,,151.64,248.26,kg/m
18,450,457,9.53,105.17,STD,,150.55,255.72,kg/m
18,450,457,10.31,113.58,,,149.48,263.06,kg/m
18,450,457,11.13,122.38,,30,148.36,270.74,kg/m
18,450,457,11.91,130.73,,,147.3,278.03,kg/m
18,450,457,12.7,139.16,XS,,146.22,285.38,kg/m
18,450,457,14.27,155.81,,40,144.1,299.91,kg/m
18,450,457,15.88,172.75,,,141.95,314.7,kg/m
18,450,457,17.48,189.47,,,139.82,329.29,kg/m
18,450,457,19.05,205.75,,60,137.74,343.49,kg/m
18,450,457,20.62,221.91,,,135.69,357.6,kg/m
18,450,457,22.23,238.35,,,133.59,371.94,kg/m
18,450,457,23.83,254.57,,80,131.53,386.1,kg/m
18,450,457,25.4,270.36,,,129.52,399.88,kg/m
18,450,457,26.97,286.02,,,127.52,413.54,kg/m
18,450,457,28.58,301.96,,,125.49,427.45,kg/m
18,450,457,29.36,309.64,,100,124.52,434.16,kg/m
18,450,457,30.18,317.68,,,123.49,441.17,kg/m
18,450,457,31.75,332.97,,,121.55,454.52,kg/m
18,450,457,34.93,363.58,,120,117.65,481.23,kg/m
18,450,457,39.67,408.28,,140,111.96,520.24,kg/m
18,450,457,45.24,459.39,,160,105.45,564.84,kg/m
20,500,508,4.78,59.32,,5,195.02,254.34,kg/m
20,500,508,5.56,68.89,,,193.8,262.69,kg/m
20,500,508,6.35,78.56,,10,192.57,271.13,kg/m
20,500,508,7.14,88.19,,,191.35,279.54,kg/m
20,500,508,7.92,97.68,,,190.14,287.82,kg/m
20,500,508,8.74,107.61,,,188.87,296.48,kg/m
20,500,508,9.53,117.15,STD,20,187.66,304.81,kg/m
20,500,508,10.31,126.54,,,186.46,313,kg/m
20,500,508,11.13,136.38,,,185.21,321.59,kg/m
20,500,508,11.91,145.71,,,184.02,329.73,kg/m
20,500,508,12.7,155.13,XS,30,182.82,337.95,kg/m
20,500,508,14.27,173.75,,,180.45,354.2,kg/m
20,500,508,15.09,183.43,,40,179.22,362.65,kg/m
20,500,508,15.88,192.73,,,178.04,370.77,kg/m
20,500,508,17.48,211.45,,,175.65,387.1,kg/m
20,500,508,19.05,229.71,,,173.33,403.04,kg/m
20,500,508,20.62,247.84,,60,171.02,418.86,kg/m
20,500,508,22.23,266.31,,,168.67,434.98,kg/m
20,500,508,23.83,284.54,,,166.35,450.89,kg/m
20,500,508,25.4,302.3,,,164.08,466.38,kg/m
20,500,508,26.19,311.19,,80,162.95,474.14,kg/m
20,500,508,26.97,319.94,,,161.84,481.78,kg/m
20,500,508,28.58,337.91,,,159.55,497.46,kg/m
20,500,508,30.18,355.63,,,157.29,512.92,kg/m
20,500,508,31.75,372.91,,,155.1,528.01,kg/m
20,500,508,32.54,381.55,,100,153.99,535.54,kg/m
20,500,508,33.32,390.05,,,152.91,542.96,kg/m
20,500,508,34.93,407.51,,,150.69,558.2,kg/m
