10,2,3,,5,6,7,8,9,10
NPS,DN,Diameter,Thickness,Weight,XS,Schedule,water,total,units
[Note (1)],Note 2,in.,in.,lb/ft,or XXS,No,lb/ft,lb/ft,lb/ft
20,500,20,0.312,65.66,,,126.88,192.54,lb/ft
20,500,20,0.344,72.28,,,126.05,198.33,lb/ft
20,500,20,0.375,78.67,STD,20,125.24,203.91,lb/ft
20,500,20,0.406,85.04,,,124.43,209.47,lb/ft
20,500,20,0.438,91.59,,,123.61,215.2,lb/ft
20,500,20,0.469,97.92,,,122.81,220.73,lb/ft
20,500,20,0.5,104.23,XS,30,122.01,226.24,lb/ft
20,500,20,0.562,116.78,,,120.42,237.2,lb/ft
20,500,20,0.594,123.23,,40,119.61,242.84,lb/ft
20,500,20,0.625,129.45,,,118.82,248.27,lb/ft
20,500,20,0.688,142.03,,,117.23,259.26,lb/ft
20,500,20,0.75,154.34,,,115.67,270.01,lb/ft
20,500,20,0.812,166.56,,60,114.13,280.69,lb/ft
20,500,20,0.875,178.89,,,112.57,291.46,lb/ft
20,500,20,0.938,191.14,,,111.02,302.16,lb/ft
20,500,20,1,203.11,,,109.5,312.61,lb/ft
20,500,20,1.031,209.06,,80,108.75,317.81,lb/ft
20,500,20,1.062,215,,,108,323,lb/ft
20,500,20,1.125,227,,,106.48,333.48,lb/ft
20,500,20,1.188,238.91,,,104.98,343.89,lb/ft
20,500,20,1.25,250.55,,,103.5,354.05,lb/ft
20,500,20,1.281,256.34,,100,102.77,359.11,lb/ft
20,500,20,1.312,262.1,,,102.04,364.14,lb/ft
20,500,20,1.375,273.76,,,100.57,374.33,lb/ft
20,500,20,1.5,296.65,,120,97.67,394.32,lb/ft
20,500,20,1.75,341.41,,140,92.01,433.42,lb/ft
20,500,20,1.969,379.53,,160,87.19,466.72,lb/ft
22,550,22,0.188,43.84,,5,158.04,201.88,lb/ft
22,550,22,0.219,50.99,,,157.13,208.12,lb/ft
22,550,22,0.25,58.13,,10,156.23,214.36,lb/ft
22,550,22,0.281,65.24,,,155.33,220.57,lb/ft
22,550,22,0.312,72.34,,,154.43,226.77,lb/ft
22,550,22,0.344,79.64,,,153.51,233.15,lb/ft
22,550,22,0.375,86.69,STD,20,152.62,239.31,lb/ft
22,550,22,0.406,93.72,,,151.73,245.45,lb/ft
22,550,22,0.438,100.96,,,150.81,251.77,lb/ft
22,550,22,0.469,107.95,,,149.93,257.88,lb/ft
22,550,22,0.5,114.92,XS,30,149.05,263.97,lb/ft
22,550,22,0.562,128.79,,,147.29,276.08,lb/ft
22,550,22,0.625,142.81,,,145.52,288.33,lb/ft
22,550,22,0.688,156.74,,,143.76,300.5,lb/ft
22,550,22,0.75,170.37,,,142.03,312.4,lb/ft
22,550,22,0.812,183.92,,,140.32,324.24,lb/ft
22,550,22,0.875,197.6,,60,138.59,336.19,lb/ft
22,550,22,0.938,211.19,,,136.87,348.06,lb/ft
22,550,22,1,224.49,,,135.19,359.68,lb/ft
22,550,22,1.062,237.7,,,133.52,371.22,lb/ft
22,550,22,1.125,251.05,,80,131.83,382.88,lb/ft
22,550,22,1.188,264.31,,,130.15,394.46,lb/ft
22,550,22,1.25,277.27,,,128.51,405.78,lb/ft
22,550,22,1.312,290.15,,,126.88,417.03,lb/ft
22,550,22,1.375,303.16,,100,125.24,428.4,lb/ft
22,550,22,1.438,316.08,,,123.61,439.69,lb/ft
22,550,22,1.5,328.72,,,122.01,450.73,lb/ft
22,550,22,1.625,353.94,,120,118.82,472.76,lb/ft
22,550,22,1.875,403.38,,140,112.57,515.95,lb/ft
22,550,22,2.125,451.49,,160,106.48,557.97,lb/ft
24,600,24,0.218,55.42,,5,187.67,243.09,lb/ft
24,600,24,0.25,63.47,,10,186.65,250.12,lb/ft
24,600,24,0.281,71.25,,,185.66,256.91,lb/ft
24,600,24,0.312,79.01,,,184.68,263.69,lb/ft
24,600,24,0.344,86.99,,,183.67,270.66,lb/ft
24,600,24,0.375,94.71,STD,20,182.7,277.41,lb/ft
24,600,24,0.406,102.4,,,181.72,284.12,lb/ft
24,600,24,0.438,110.32,,,180.72,291.04,lb/ft
24,600,24,0.469,117.98,,,179.75,297.73,lb/ft
24,600,24,0.5,125.61,XS,,178.79,304.4,lb/ft
24,600,24,0.562,140.81,,30,176.87,317.68,lb/ft
24,600,24,0.625,156.17,,,174.92,331.09,lb/ft
24,600,24,0.688,171.45,,40,172.99,344.44,lb/ft
24,600,24,0.75,186.41,,,171.1,357.51,lb/ft
24,600,24,0.812,201.28,,,169.22,370.5,lb/ft
24,600,24,0.875,216.31,,,167.32,383.63,lb/ft
24,600,24,0.938,231.25,,,165.43,396.68,lb/ft
24,600,24,0.969,238.57,,60,164.5,403.07,lb/ft
24,600,24,1,245.87,,,163.58,409.45,lb/ft
24,600,24,1.062,260.41,,,161.74,422.15,lb/ft
24,600,24,1.125,275.1,,,159.88,434.98,lb/ft
24,600,24,1.188,289.71,,,158.04,447.75,lb/ft
24,600,24,1.219,296.86,,80,157.13,453.99,lb/ft
24,600,24,1.25,304,,,156.23,460.23,lb/ft
24,600,24,1.312,318.21,,,154.43,472.64,lb/ft
24,600,24,1.375,332.56,,,152.62,485.18,lb/ft
24,600,24,1.438,346.83,,,150.81,497.64,lb/ft
24,600,24,1.5,360.79,,,149.05,509.84,lb/ft
24,600,24,1.531,367.74,,100,148.17,515.91,lb/ft
24,600,24,1.562,374.66,,,147.29,521.95,lb/ft
24,600,24,1.812,429.79,,120,140.32,570.11,lb/ft
24,600,24,2.062,483.57,,140,133.52,617.09,lb/ft
24,600,24,2.344,542.64,,160,126.05,668.69,lb/ft
26,650,26,0.25,68.82,,,219.77,288.59,lb/ft
26,650,26,0.281,77.26,,,218.7,295.96,lb/ft
